year,closing_price
2010,11.52	
2011,14.46
2012,19.006071
2013,20.036428
2014,27.594999
2015,26.315001
2016,28.955
2017,42.307499
2018,39.435001
2019,73.41
2020,100












